@RELATION players

@ATTRIBUTE gp numeric
@ATTRIBUTE age numeric
@ATTRIBUTE min numeric
@ATTRIBUTE fgm numeric
@ATTRIBUTE fga numeric
@ATTRIBUTE ftm numeric
@ATTRIBUTE fta numeric
@ATTRIBUTE reb numeric
@ATTRIBUTE ast numeric
@ATTRIBUTE stl numeric
@ATTRIBUTE blk numeric
@ATTRIBUTE tov numeric
@ATTRIBUTE pts numeric
@ATTRIBUTE season numeric
@ATTRIBUTE fppg numeric

@DATA
80,26,36,5.4,11.6,4.2,4.8,4.1,9.8,2.4,0.1,2.2,15.9,NaN,28.6
41,27,7.1,0.8,2.2,0.1,0.2,0.6,1,0.1,0,0.3,2,NaN,0
57,28,17.5,3.3,5.6,0.9,1.6,4.8,0.8,0.5,0.3,0.8,7.4,NaN,9.9
44,22,21.5,3,7,0.4,0.6,2.8,0.8,0.8,0.6,1.1,6.9,NaN,3.4
74,28,28.1,3.3,6.3,1.3,1.9,8.1,2.7,1.1,0.7,1.2,7.9,NaN,8.8
18,22,7.9,0.4,0.8,0.1,0.2,1.9,0.2,0.3,0.4,0.4,1,NaN,4.6
69,25,21.9,2.8,7.1,2,2.8,2.5,1.3,1.4,0.2,1.3,8,NaN,10.3
67,31,20.9,3.8,8.3,4,4.9,3.6,1.3,0.3,0.1,1.9,12,NaN,14.5
81,25,21.3,3.1,7.1,1.2,1.5,2.6,1.2,0.7,0.2,0.8,8.3,NaN,12.4
3,23,10.9,1.3,5.3,0,0,1.3,0.3,0.3,0,0,2.7,NaN,1.8
48,27,12.2,2.2,3.9,1,1.4,2.4,0.6,0.3,0.1,0.7,5.4,NaN,5.5
82,23,33.6,4.9,11.7,3.3,3.6,2.7,6.1,0.7,0,1.9,14.4,NaN,16.2
41,30,8,0.6,1.2,0.3,0.4,2.1,0.1,0.1,0.7,0.5,1.4,NaN,0
47,24,14.6,2.4,4.7,1,1.4,3.4,0.4,0.3,0.4,0.3,5.7,NaN,9.2
22,23,9,1.3,3.1,0.4,0.9,0.5,0.1,0.1,0,0.6,3.4,NaN,5.1
43,24,13.9,1.8,4.2,0.4,0.5,1.7,0.5,0.3,0,0.4,5.6,NaN,5.3
